etl_date,source_systems,set_group,not_null_sq,update_date_sq,source_system_sq
2022-03-22 13:49:37.049,CONFIG,1,1,3,2
2022-03-22 13:49:37.049,CONFIG,2,1,3,2
2022-03-22 13:49:37.049,CONFIG,3,1,3,2
2022-03-22 13:49:37.049,CONFIG,4,1,3,2
2022-03-22 13:49:37.049,CONFIG,5,1,3,2
2022-03-22 13:49:37.049,CONFIG,6,1,3,2
2022-03-22 13:49:37.049,CONFIG,7,1,3,2
2022-03-22 13:49:37.049,CONFIG,8,1,3,2
2022-03-22 13:49:37.049,CONFIG,9,1,3,2
2022-03-22 13:49:37.049,CONFIG,10,1,3,2
2022-03-22 13:49:37.049,CONFIG,11,1,3,2
2022-03-22 13:49:37.049,CONFIG,12,1,3,2
2022-03-22 13:49:37.049,CONFIG,13,1,3,2
2022-03-22 13:49:37.049,CONFIG,14,1,3,2
2022-03-22 13:49:37.049,CONFIG,15,1,3,2
2022-03-22 13:49:37.049,CONFIG,16,1,3,2
2022-03-22 13:49:37.049,CONFIG,17,1,3,2
2022-03-22 13:49:37.049,CONFIG,18,1,3,2
2022-03-22 13:49:37.049,CONFIG,19,1,3,2
2022-03-22 13:49:37.049,CONFIG,20,1,3,2
2022-03-22 13:49:37.049,CONFIG,21,1,3,2