etl_date,source_systems,set_group,source_systems_name,sub_source_name,priority
2022-03-22 13:49:40.478,CONFIG,1,CRM,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,1,TOPSERV,C365,2
2022-03-22 13:49:40.478,CONFIG,1,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,1,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,2,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,2,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,2,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,2,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,3,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,3,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,3,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,3,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,4,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,4,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,4,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,4,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,5,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,5,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,5,DDMS,BOOKING,2
2022-03-22 13:49:40.478,CONFIG,5,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,6,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,6,C365,C365,2
2022-03-22 13:49:40.478,CONFIG,6,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,6,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,7,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,7,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,7,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,7,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,8,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,8,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,8,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,8,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,9,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,9,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,9,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,9,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,10,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,10,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,10,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,10,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,11,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,11,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,11,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,11,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,12,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,12,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,12,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,12,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,13,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,13,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,13,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,13,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,14,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,14,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,14,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,14,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,15,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,15,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,15,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,15,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,16,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,16,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,16,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,16,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,17,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,17,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,17,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,17,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,18,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,18,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,18,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,18,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,19,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,19,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,19,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,19,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,20,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,20,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,20,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,20,DDMS,ACARD,4
2022-03-22 13:49:40.478,CONFIG,21,TOPSERV,CUSTOMER,1
2022-03-22 13:49:40.478,CONFIG,21,CRM,C365,2
2022-03-22 13:49:40.478,CONFIG,21,DDMS,BOOKING,3
2022-03-22 13:49:40.478,CONFIG,21,DDMS,ACARD,4